# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun  8 13:48:33 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,sy_dist,sy_disterr1,sy_disterr2
11 Com b,11 Com,1,Radial Velocity,323.21000000000,0.06000000000,-0.05000000000,0,1.1780000000,0.0000000000,0.0000000000,0,,,,,4914.89848585,39.09289406,-39.72855088,0,Msini,0.238000,0.007000,-0.007000,0,93.18460000,1.92380000,-1.92380000
11 UMi b,11 UMi,1,Radial Velocity,516.21997000000,3.20000000000,-3.20000000000,0,1.5300000000,0.0700000000,-0.0700000000,0,,,,,4684.81420000,794.57500000,-794.57500000,0,Msini,0.080000,0.030000,-0.030000,0,125.32100000,1.97650000,-1.97650000
14 And b,14 And,1,Radial Velocity,186.76000000000,0.11000000000,-0.12000000000,0,0.7750000000,0.0000000000,0.0000000000,0,,,,,1131.15130051,36.23243840,-38.77506565,0,Msini,0.000000,,,0,75.43920000,0.71400000,-0.71400000
14 Her b,14 Her,1,Radial Velocity,1765.03890000000,1.67709000000,-1.87256000000,0,2.7740000000,0.1090000000,-0.1200000000,0,,,,,2559.47216157,518.69596022,-280.64248338,0,Mass,0.373000,0.008000,-0.006000,0,17.93230000,0.00730000,-0.00730000
16 Cyg B b,16 Cyg B,1,Radial Velocity,798.50000000000,1.00000000000,-1.00000000000,0,1.6600000000,0.0300000000,-0.0300000000,0,,,,,565.73740000,25.42640000,-25.42640000,0,Msini,0.680000,0.020000,-0.020000,0,21.13970000,0.01100000,-0.01110000
17 Sco b,17 Sco,1,Radial Velocity,578.38000000000,2.01000000000,-2.09000000000,0,1.4500000000,0.0200000000,-0.0200000000,0,,,,,1373.01871824,47.67426105,-38.13940884,0,Msini,0.060000,0.030000,-0.020000,0,124.95300000,2.59000000,-2.59000000
18 Del b,18 Del,1,Radial Velocity,982.85000000000,1.06000000000,-0.92000000000,0,2.4760000000,0.0020000000,-0.0020000000,0,,,,,2926.24614325,50.85254512,-24.47278734,0,Msini,0.024000,0.007000,-0.018000,0,76.22200000,0.62170000,-0.62170000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,,,,,330.0000000000,,,0,,,,,3000.00000000,300.00000000,-300.00000000,0,Mass,,,,,139.13500000,1.33200000,-1.30700000
24 Boo b,24 Boo,1,Radial Velocity,30.33000000000,0.00000000000,-0.01000000000,0,0.1940000000,0.0000000000,0.0000000000,0,,,,,280.64248338,11.44182265,-13.66662150,0,Msini,0.032000,0.039000,-0.023000,0,95.98630000,0.63685000,-0.63685000
24 Sex b,24 Sex,1,Radial Velocity,452.80000000000,2.10000000000,-4.50000000000,0,1.3330000000,0.0040000000,-0.0090000000,0,,,,,632.46000000,82.63000000,-120.77000000,0,Msini,0.090000,0.140000,-0.060000,0,72.06910000,0.68540000,-0.67280000
24 Sex c,24 Sex,1,Radial Velocity,883.00000000000,32.40000000000,-13.80000000000,0,2.0800000000,0.0500000000,-0.0200000000,0,,,,,273.32000000,111.24000000,-69.92000000,0,Msini,0.290000,0.160000,-0.090000,0,72.06910000,0.68540000,-0.67280000
2M0437 b,2MASS J04372171+2651014,1,Imaging,,,,,118.0000000000,1.3000000000,-1.3000000000,0,,,,,1271.31362800,317.82840700,-317.82840700,0,Mass,,,,,128.48400000,1.19600000,-1.17400000
