# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 23 04:26:32 2025
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbperstr < 1
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and sy_kmagstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_tmag:        TESS Magnitude
# COLUMN sy_tmagerr1:    TESS Magnitude Upper Unc
# COLUMN sy_tmagerr2:    TESS Magnitude Lower Unc
#
pl_name,hostname,default_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2
K2-137 b,K2-137,1,0.17971900,0.00002800,-0.00002800,0,,,,,0.640,0.100,-0.100,0,,,,,,,,,,,,,,,,,,3697.00,109.00,-109.00,0,0.29,0.06,-0.06,0,,,,,-0.059,0.180,-0.180,0,5.00,0.06,-0.06,0,98.8765000,0.6176000,-0.6101000,15.9400000,0.2000000,-0.2000000,10.8820000,0.0230000,-0.0230000,13.2396000,0.0074097,-0.0074097
TOI-6255 b,TOI-6255,1,0.23818244,0.00000012,-0.00000012,0,,,,,1.079,0.065,-0.065,0,1.44000,0.14000,-0.14000,0,0.000000,,,0,,,,,,,,,,3421.00,70.00,-70.00,0,0.37,0.01,-0.01,0,0.35,0.01,-0.01,0,-0.140,0.090,-0.090,0,4.85,0.04,-0.04,0,20.3167000,0.0236000,-0.0236000,12.7470000,0.0520000,-0.0520000,8.0710000,0.0200000,-0.0200000,10.4458000,0.0073028,-0.0073028
KOI-55 b,KOI-55,1,0.24010400,0.00000400,-0.00000400,0,0.006000,,,0,0.759,,,0,0.44000,,,0,,,,,,,,,,,,,B,27730.00,270.00,-270.00,0,0.20,0.01,-0.01,0,0.50,0.00,0.00,0,,,,,5.52,0.03,-0.03,0,1231.0200000,48.0150000,-48.0150000,15.1540000,0.1500000,-0.1500000,15.4950000,,,15.0160000,,
K2-141 b,K2-141,1,0.28032440,0.00000150,-0.00000150,0,0.007470,0.000100,-0.000100,0,1.510,0.050,-0.050,0,4.97000,0.35000,-0.34000,0,0.000000,,,0,3260.00,370.00,-330.00,0,2103,56,-56,0,,4570.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.71,0.03,-0.03,0,0.000,0.060,-0.060,0,,,,,61.8736000,0.1662000,-0.1654000,11.4540000,0.0230000,-0.0230000,8.4010000,0.0230000,-0.0230000,10.0298000,0.0060000,-0.0060000
GJ 367 b,GJ 367,1,0.32192250,0.00000020,-0.00000020,0,0.007090,0.000270,-0.000270,0,0.699,0.024,-0.024,0,0.63300,0.05000,-0.05000,0,0.060000,0.070000,-0.040000,0,579.00,57.00,-52.00,0,1365,32,-32,0,M1.0 V,3522.00,70.00,-70.00,0,0.46,0.01,-0.01,0,0.46,0.01,-0.01,0,-0.010,0.120,-0.120,0,4.78,0.03,-0.03,0,9.4126300,0.0028350,-0.0028350,10.1530000,0.0440000,-0.0440000,5.7800000,0.0200000,-0.0200000,8.0319410,0.0074304,-0.0074304
KOI-55 c,KOI-55,1,0.34288700,0.00001300,-0.00001300,0,0.007600,,,0,0.867,,,0,0.65500,,,0,,,,,,,,,,,,,B,27730.00,270.00,-270.00,0,0.20,0.01,-0.01,0,0.50,0.00,0.00,0,,,,,5.52,0.03,-0.03,0,1231.0200000,48.0150000,-48.0150000,15.1540000,0.1500000,-0.1500000,15.4950000,,,15.0160000,,
TOI-2260 b,TOI-2260,1,0.35247280,0.00000470,-0.00000470,0,0.009700,0.000100,-0.000100,0,1.620,0.130,-0.130,0,,,,,,,,,,,,,2609,86,-86,0,G V,5534.00,100.00,-100.00,0,0.94,0.05,-0.05,0,0.99,0.04,-0.04,0,0.220,0.060,-0.060,0,4.62,0.10,-0.10,0,101.2510000,0.2840000,-0.2830000,10.4740000,0.0060000,-0.0060000,8.6840000,0.0160000,-0.0160000,9.7587400,0.0064000,-0.0064000
EPIC 206042996 c,EPIC 206042996,1,0.35488400,0.00006300,-0.00006300,0,,,,,1.200,0.200,-0.100,0,,,,,,,,,,,,,,,,,,4114.00,99.00,-99.00,0,0.50,0.04,-0.04,0,,,,,0.006,0.120,-0.120,0,4.80,0.05,-0.05,0,451.7690000,13.9760000,-13.1760000,16.5900000,1.1330000,-1.1330000,13.0710000,0.0330000,-0.0330000,15.1373000,0.0077000,-0.0077000
Kepler-78 b,Kepler-78,1,0.35500745,0.00000008,-0.00000008,0,0.009010,0.000120,-0.000190,0,1.201,0.028,-0.028,0,1.68000,0.27000,-0.27000,0,0.000000,,,0,4070.00,240.00,-240.00,0,2223,32,-32,0,,5058.00,50.00,-50.00,0,0.75,0.01,-0.01,0,0.78,0.03,-0.05,0,-0.180,0.080,-0.080,0,,,,,124.3760000,0.3300000,-0.3290000,11.7170000,0.0340000,-0.0340000,9.5860000,0.0150000,-0.0150000,10.9555000,0.0061000,-0.0061000
K2-157 b,K2-157,1,0.36526100,0.00017000,-0.00017000,0,,,,,1.000,0.100,-0.080,0,,,,,,,,,,,,,,,,,,5456.00,50.00,-50.00,0,0.88,0.04,-0.04,0,,,,,0.130,0.080,-0.080,0,4.50,0.10,-0.10,0,298.3730000,4.5900000,-4.4550000,12.9420000,0.0690000,-0.0690000,10.9800000,0.0230000,-0.0230000,12.1305000,0.0064000,-0.0064000
K2-131 b,K2-131,1,0.36930380,0.00000910,-0.00000910,0,0.009360,0.000140,-0.000140,0,1.690,0.085,-0.058,0,7.90000,1.30000,-1.30000,0,0.000000,,,0,4070.00,280.00,-280.00,0,2223,37,-37,0,,5120.00,71.00,-71.00,0,0.76,0.01,-0.01,0,0.80,0.03,-0.03,0,-0.040,0.070,-0.070,0,,,,,152.5090000,1.0790000,-1.0630000,12.1290000,0.0920000,-0.0920000,10.0510000,0.0260000,-0.0260000,11.3328000,0.0061000,-0.0061000
