# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Dec  6 02:54:57 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_bmasse not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,0,,,,,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,,,,,M6,3064.00,76.00,-76.00,0,0.28,0.01,-0.01,0,0.11,0.01,-0.01,0,,,
55 Cnc e,55 Cnc,1,2,5,0,0.73654740,0.00000130,-0.00000140,0,0.015440,0.000050,-0.000050,0,1.875,0.029,-0.029,0,7.99000,0.32000,-0.33000,0,0.050000,0.030000,-0.030000,0,,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,12.5855000,0.0124000,-0.0123000
BD+20 594 b,BD+20 594,1,1,1,0,41.68550000,0.00300000,-0.00300000,0,,,,,2.578,0.112,-0.112,0,22.24810,9.53490,-9.53490,0,0.000000,,,0,,5766.00,99.00,-99.00,0,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0,179.4610000,1.2570000,-1.2400000
BD+60 1417 b,BD+60 1417,1,1,1,0,,,,,1662.000000,,,0,14.684,0.673,-0.673,0,4767.42610,1589.14204,-1589.14204,0,,,,,K0,4993.00,124.00,-124.00,0,0.80,0.05,-0.05,0,1.00,,,0,44.9543000,0.0593000,-0.0592000
BD-14 3065 b,BD-14 3065 A,1,3,1,0,4.28897310,0.00000520,-0.00000520,0,0.065600,0.002600,-0.002600,0,21.590,1.050,-1.050,0,3932.00000,290.00000,-280.00000,0,0.066000,0.009800,-0.011000,0,,6935.00,90.00,-90.00,0,2.35,0.08,-0.08,0,1.41,0.05,-0.05,0,589.4230000,16.5990000,-15.7290000
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,0,8040000.00000000,470000.00000000,-470000.00000000,0,200.000000,6.000000,-6.000000,0,20.849,0.560,-0.560,0,2479.06157,222.47988,-254.26273,0,,,,,M9-L1,2320.00,40.00,-40.00,0,0.24,0.01,-0.01,0,0.01,0.00,0.00,0,,,
COCONUTS-2 b,COCONUTS-2 A,1,1,1,0,,,,,,,,,12.442,0.336,-0.448,0,2542.62726,635.65681,-635.65681,0,,,,,M3 V,3406.00,69.00,-69.00,0,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0,10.8864000,0.0041000,-0.0042000
CT Cha b,CT Cha,1,1,1,0,,,,,440.000000,,,0,24.660,9.080,-6.730,0,5403.00000,1907.00000,-1907.00000,0,,,,,,,,,,,,,,,,,,190.7200000,0.7780000,-0.7710000
CoRoT-1 b,CoRoT-1,1,1,1,0,1.50895570,0.00000640,-0.00000640,0,,,,,16.700,0.900,-0.900,0,327.35000,38.14000,-38.14000,0,0.000000,,,0,G0 V,5950.00,150.00,-150.00,0,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0,787.9090000,23.4910000,-23.4910000
CoRoT-10 b,CoRoT-10,1,1,1,0,13.24060000,0.00020000,-0.00020000,0,0.105500,0.002100,-0.002100,0,10.870,0.780,-0.780,0,874.00000,50.85000,-50.85000,0,0.530000,0.040000,-0.040000,0,K1 V,5075.00,75.00,-75.00,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,338.3860000,3.9865000,-3.9865000
CoRoT-11 b,CoRoT-11,1,1,1,0,2.99433000,0.00001100,-0.00001100,0,0.043600,0.005000,-0.005000,0,16.030,0.340,-0.340,0,740.51000,108.06000,-108.06000,0,0.000000,,,0,F6 V,6440.00,120.00,-120.00,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,655.0370000,24.9470000,-23.2090000
CoRoT-12 b,CoRoT-12,1,1,1,0,2.82804200,0.00001300,-0.00001300,0,0.040160,0.000930,-0.000920,0,16.140,1.460,-1.460,0,291.43800,22.24700,-20.65800,0,0.070000,0.063000,-0.042000,0,,5675.00,80.00,-80.00,0,1.12,0.10,-0.09,0,1.08,0.08,-0.07,0,1126.3700000,55.7450000,-55.7450000
CoRoT-13 b,CoRoT-13,1,1,1,0,4.03519000,0.00003000,-0.00003000,0,0.051000,0.003100,-0.003100,0,9.920,0.157,-0.157,0,415.70400,20.97600,-20.97600,0,0.000000,,,0,G0 V,5945.00,90.00,-90.00,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,1148.9300000,62.1200000,-56.1500000
CoRoT-14 b,CoRoT-14,1,1,1,0,1.51214000,0.00013000,-0.00013000,0,0.027000,0.002000,-0.002000,0,12.220,0.780,-0.780,0,2415.40000,190.70000,-190.70000,0,0.000000,,,0,F9 V,6035.00,100.00,-100.00,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,1744.6000000,173.0300000,-144.9000000
CoRoT-16 b,CoRoT-16,1,1,1,0,5.35227000,0.00020000,-0.00020000,0,0.061800,0.001500,-0.001500,0,13.110,1.790,-1.570,0,170.03200,27.01400,-26.37900,0,0.330000,0.090000,-0.100000,0,G5 V,5650.00,100.00,-100.00,0,1.19,0.14,-0.13,0,1.10,0.08,-0.08,0,732.4090000,35.3440000,-32.2820000
CoRoT-17 b,CoRoT-17,1,1,1,0,3.76810000,0.00030000,-0.00030000,0,0.046100,0.000800,-0.000800,0,11.430,0.780,-0.780,0,772.29000,95.34000,-95.34000,0,0.000000,,,0,G2 V,5740.00,80.00,-80.00,0,1.59,0.07,-0.07,0,1.04,0.10,-0.10,0,1176.1200000,57.1700000,-52.1900000
CoRoT-18 b,CoRoT-18,1,1,1,0,1.90006930,0.00000280,-0.00000280,0,0.029500,0.001600,-0.001600,0,14.680,2.020,-2.020,0,1102.82000,120.77000,-120.77000,0,0.080000,,,1,G9 V,5440.00,100.00,-100.00,0,1.00,0.13,-0.13,0,0.95,0.15,-0.15,0,764.8890000,27.6140000,-25.7840000
CoRoT-19 b,CoRoT-19,1,1,1,0,3.89713000,0.00002000,-0.00002000,0,0.051800,0.000800,-0.000800,0,14.460,0.340,-0.340,0,352.78000,19.07000,-19.07000,0,0.047000,0.045000,-0.045000,0,F9 V,6090.00,70.00,-70.00,0,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0,790.6630000,26.7370000,-25.0710000
CoRoT-2 b,CoRoT-2,1,2,1,0,1.74299350,0.00000100,-0.00000100,0,0.027980,0.000760,-0.000800,0,16.432,0.471,-0.493,0,1102.82000,69.92000,-69.92000,0,0.014300,0.007700,-0.007600,0,,5625.00,120.00,-120.00,0,0.91,0.03,-0.03,0,0.96,0.08,-0.08,0,213.2830000,2.4850000,-2.4300000
CoRoT-21 b,CoRoT-21,1,1,1,0,2.72474000,0.00014000,-0.00014000,0,0.041700,0.001100,-0.001100,0,14.572,1.569,-1.569,0,718.29580,98.52730,-98.52730,0,0.000000,,,0,F8 IV,6200.00,100.00,-100.00,0,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0,,,
CoRoT-22 b,CoRoT-22,1,1,1,0,9.75598000,0.00011000,-0.00011000,0,0.092000,0.001400,-0.001400,0,4.880,0.170,-0.390,0,12.20000,14.00000,-8.80000,0,0.077000,0.300000,-0.042000,0,G3 V,5939.00,54.00,-120.00,0,1.14,0.04,-0.09,0,1.10,0.05,-0.05,0,627.1580000,11.1870000,-10.8080000
CoRoT-23 b,CoRoT-23,1,1,1,0,3.63130000,0.00010000,-0.00010000,0,0.048000,0.004000,-0.004000,0,11.770,1.460,-1.460,0,889.90000,95.30000,-95.30000,0,0.160000,0.020000,-0.020000,0,G0 V,5900.00,100.00,-100.00,0,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0,1060.9700000,45.4700000,-41.9400000
CoRoT-24 b,CoRoT-24,1,1,2,0,5.11340000,0.00060000,-0.00060000,0,0.056000,0.002000,-0.002000,0,3.700,0.400,-0.400,0,5.70000,,,1,0.000000,,,0,K1 V,4950.00,150.00,-150.00,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,591.5550000,16.0430000,-15.2320000
CoRoT-24 c,CoRoT-24,1,1,2,0,11.75900000,0.00630000,-0.00630000,0,0.098000,0.003000,-0.003000,0,5.000,0.500,-0.500,0,28.00000,11.00000,-11.00000,0,0.000000,,,0,K1 V,4950.00,150.00,-150.00,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,591.5550000,16.0430000,-15.2320000
CoRoT-25 b,CoRoT-25,1,1,1,0,4.86069000,0.00006000,-0.00006000,0,0.057800,0.002000,-0.000900,0,12.110,3.400,-1.120,0,85.81000,12.71000,-12.71000,0,0.000000,,,0,F9,6040.00,90.00,-90.00,0,1.19,0.14,-0.03,0,1.09,0.11,-0.05,0,1103.4800000,44.2800000,-41.0500000
CoRoT-26 b,CoRoT-26,1,1,1,0,4.20474000,0.00005000,-0.00005000,0,0.052600,0.001000,-0.001000,0,14.120,1.460,-0.780,0,165.26000,15.89000,-15.89000,0,0.000000,,,0,G5,5590.00,100.00,-100.00,0,1.79,0.18,-0.09,0,1.09,0.06,-0.06,0,1045.1800000,,
CoRoT-27 b,CoRoT-27,1,1,1,0,3.57532000,0.00006000,-0.00006000,0,0.047600,0.006600,-0.006600,0,11.287,0.493,-0.493,0,3302.11000,174.80000,-174.80000,0,0.065000,,,1,G2,5900.00,120.00,-120.00,0,1.08,0.18,-0.06,0,1.05,0.11,-0.11,0,1010.2800000,69.2600000,-61.0360000
CoRoT-28 b,CoRoT-28,1,1,1,0,5.20851000,0.00038000,-0.00038000,0,0.060300,0.005000,-0.005000,0,10.705,0.740,-0.740,0,153.82972,27.65121,-27.65121,0,0.047000,0.055000,-0.038000,0,G8/9 IV,5150.00,100.00,-100.00,0,1.78,0.11,-0.11,0,1.01,0.14,-0.14,0,766.1830000,14.6850000,-14.1520000
CoRoT-29 b,CoRoT-29,1,1,1,0,2.85057000,0.00000600,-0.00000600,0,0.038600,0.005900,-0.005900,0,10.088,1.793,-1.793,0,270.15550,63.56600,-63.56600,0,0.082000,0.081000,-0.081000,0,K0 V,5260.00,100.00,-100.00,0,0.90,0.12,-0.12,0,0.97,0.14,-0.14,0,806.5070000,44.0270000,-39.7600000
CoRoT-3 b,CoRoT-3,1,1,1,0,4.25680000,0.00000500,-0.00000500,0,,,,,11.320,0.780,-0.780,0,6883.91000,317.80000,-317.80000,0,0.000000,,,0,F3 V,6740.00,140.00,-140.00,0,1.56,0.09,-0.09,0,1.37,0.09,-0.09,0,768.7710000,30.7910000,-28.5450000
CoRoT-30 b,CoRoT-30,1,1,1,0,9.06005000,0.00024000,-0.00024000,0,0.084400,0.001200,-0.001200,0,11.310,0.852,-0.852,0,921.70700,69.92260,-69.92260,0,0.007000,0.031000,-0.031000,0,G3 V,5650.00,100.00,-100.00,0,0.91,0.09,-0.03,0,0.98,0.03,-0.05,0,1032.2300000,48.5700000,-44.4670000
CoRoT-31 b,CoRoT-31,1,1,1,0,4.62941000,0.00075000,-0.00075000,0,0.058600,0.003400,-0.003400,0,16.365,3.363,-3.363,0,266.97720,108.06220,-108.06220,0,0.020000,0.160000,-0.160000,0,G2 IV,5700.00,120.00,-120.00,0,2.15,0.56,-0.66,0,1.25,0.22,-0.21,0,2005.7600000,169.7900000,-145.7100000
CoRoT-35 b,CoRoT-35,1,1,1,0,3.22748000,0.00008000,-0.00008000,0,0.042900,0.000920,-0.000920,0,18.831,1.233,-1.233,0,349.61125,117.59651,-117.59651,0,0.000000,,,0,F6 V,6390.00,130.00,-130.00,0,1.65,0.10,-0.11,0,1.01,0.07,-0.06,0,1123.2100000,55.9000000,-50.9200000
CoRoT-36 b,CoRoT-36,1,1,1,0,5.61653100,0.00002300,-0.00002300,0,0.066000,0.007000,-0.007000,0,15.805,1.569,-1.569,0,216.12332,149.37935,-136.66622,1,0.000000,,,0,F3 V,6730.00,140.00,-140.00,0,1.52,0.20,-0.10,0,1.32,0.09,-0.09,0,925.9580000,27.7960000,-26.2470000
